CustID,FullName,Address,Phone,Birthdate,Sex
1,Bob Smith,123 Road Ln,1234567,2/1/1970,M
2,Kate Smith,124 Road Ln,1234568,2/2/1970,F
3,Bob Smith,125 Road Ln,1234569,2/3/1970,M
4,Kate Smith,126 Road Ln,1234570,2/4/1970,F
5,Bob Smith,127 Road Ln,1234571,2/5/1970,M
6,Kate Smith,128 Road Ln,1234572,2/6/1970,F
7,Bob Smith,129 Road Ln,1234573,2/7/1970,M
8,Kate Smith,130 Road Ln,1234574,2/8/1970,F
9,Bob Smith,131 Road Ln,1234575,2/9/1970,M
10,Kate Smith,132 Road Ln,1234576,2/10/1970,F
11,Bob Smith,133 Road Ln,1234577,2/11/1970,M
12,Kate Smith,134 Road Ln,1234578,2/12/1970,F
13,Bob Smith,135 Road Ln,1234579,2/13/1970,M
14,Kate Smith,136 Road Ln,1234580,2/14/1970,F
15,Bob Smith,137 Road Ln,1234581,2/15/1970,M
16,Kate Smith,138 Road Ln,1234582,2/16/1970,F
17,Bob Smith,139 Road Ln,1234583,2/17/1970,M
18,Kate Smith,140 Road Ln,1234584,2/18/1970,F
19,Bob Smith,141 Road Ln,1234585,2/19/1970,M
20,Kate Smith,142 Road Ln,1234586,2/20/1970,F
21,Bob Smith,143 Road Ln,1234587,2/21/1970,M
22,Kate Smith,144 Road Ln,1234588,2/22/1970,F
23,Bob Smith,145 Road Ln,1234589,2/23/1970,M
24,Kate Smith,146 Road Ln,1234590,2/24/1970,F
