EmpID,FullName,Address,Phone,Birthdate,Sex
1,John Smith,123 Road Ln,1234567,2/1/1970,M
2,Jane Smith,124 Road Ln,1234568,2/2/1970,F
3,John Smith,125 Road Ln,1234569,2/3/1970,M
4,Jane Smith,126 Road Ln,1234570,2/4/1970,F
5,John Smith,127 Road Ln,1234571,2/5/1970,M
6,Jane Smith,128 Road Ln,1234572,2/6/1970,F
7,John Smith,129 Road Ln,1234573,2/7/1970,M
8,Jane Smith,130 Road Ln,1234574,2/8/1970,F
9,John Smith,131 Road Ln,1234575,2/9/1970,M
10,Jane Smith,132 Road Ln,1234576,2/10/1970,F
11,John Smith,133 Road Ln,1234577,2/11/1970,M
12,Jane Smith,134 Road Ln,1234578,2/12/1970,F
13,John Smith,135 Road Ln,1234579,2/13/1970,M
14,Jane Smith,136 Road Ln,1234580,2/14/1970,F
15,John Smith,137 Road Ln,1234581,2/15/1970,M
16,Jane Smith,138 Road Ln,1234582,2/16/1970,F
17,John Smith,139 Road Ln,1234583,2/17/1970,M
18,Jane Smith,140 Road Ln,1234584,2/18/1970,F
19,John Smith,141 Road Ln,1234585,2/19/1970,M
20,Jane Smith,142 Road Ln,1234586,2/20/1970,F
21,John Smith,143 Road Ln,1234587,2/21/1970,M
22,Jane Smith,144 Road Ln,1234588,2/22/1970,F
,,,,,
,,,,,
